jurisdiction,title,match_text,date,file_link
Santa Ana,2021-086 - The Well 32 Rehabilitation Improvement Project,2021-086 - The Well 32 Rehabilitation Improvement Project,2021-12-23,https://publicdocs.santa-ana.org/WebLink/1/doc/130348/Page1.aspx
Santa Ana,2021-087 - The Well 38 Wellhead Treatment Plan,2021-087 - The Well 38 Wellhead Treatment Plan,2021-12-23,https://publicdocs.santa-ana.org/WebLink/1/doc/130347/Page1.aspx
Santa Ana,2021-088 - California Authorizing Use of Remote Teleconferencing Provisions (AB 361),2021-088 - California Authorizing Use of Remote Teleconferencing Provisions (AB 361),2021-12-23,https://publicdocs.santa-ana.org/WebLink/1/doc/130346/Page1.aspx
Santa Ana,2021-089 - Establishing the Public Safety and Homelessness,2021-089 - Establishing the Public Safety and Homelessness,2021-12-23,https://publicdocs.santa-ana.org/WebLink/1/doc/130345/Page1.aspx
Santa Ana,Executive Order No. 16-2021,Executive Order No. 16-2021,2021-03-30,https://publicdocs.santa-ana.org/WebLink/1/doc/126647/Page1.aspx
Santa Ana,Executive Order No. 17-2021,Executive Order No. 17-2021,2021-06-14,https://publicdocs.santa-ana.org/WebLink/1/doc/127643/Page1.aspx
Santa Ana,2022-001 - Proposals for Funding for the Rousselle Street Flood Protection Project and Warner Avenue Flood Protection Project,2022-001 - Proposals for Funding for the Rousselle Street Flood Protection Project and Warner Avenue Flood Protection Project,2022-01-24,https://publicdocs.santa-ana.org/WebLink/1/doc/130668/Page1.aspx
Santa Ana,2022-002 - Accepting the Donation of a Police K-9 from Johanna Scillieri,2022-002 - Accepting the Donation of a Police K-9 from Johanna Scillieri,2022-01-24,https://publicdocs.santa-ana.org/WebLink/1/doc/130666/Page1.aspx
Santa Ana,2022-003 - Condemning the Recent Rise of Antisemitic Violence and Harassment Targeting Jewish People,2022-003 - Condemning the Recent Rise of Antisemitic Violence and Harassment Targeting Jewish People,2022-01-24,https://publicdocs.santa-ana.org/WebLink/1/doc/130670/Page1.aspx
Santa Ana,2022-004 - Authorizing the Use of Remote Teleconference Provisions (AB 361),2022-004 - Authorizing the Use of Remote Teleconference Provisions (AB 361),2022-01-24,https://publicdocs.santa-ana.org/WebLink/1/doc/130669/Page1.aspx
Santa Ana,2022-005 - Amend the Current FY 21-22 Annual Budget,2022-005 - Amend the Current FY 21-22 Annual Budget,2022-01-24,https://publicdocs.santa-ana.org/WebLink/1/doc/130667/Page1.aspx
Santa Ana,2022-006 - Events Permit Policy,2022-006 - Events Permit Policy,2022-01-25,https://publicdocs.santa-ana.org/WebLink/1/doc/130683/Page1.aspx
Santa Ana,2022-007 - City's Uniform Schedule and Misc. Fees for FY 21-22,2022-007 - City's Uniform Schedule and Misc. Fees for FY 21-22,2022-01-25,https://publicdocs.santa-ana.org/WebLink/1/doc/130684/Page1.aspx
Santa Ana,2022-008 - Execution of Program Supplements for State-Funded Transit Projects,2022-008 - Execution of Program Supplements for State-Funded Transit Projects,2022-02-07,https://publicdocs.santa-ana.org/WebLink/1/doc/130939/Page1.aspx
Santa Ana,"2022-009 - Deed of Release for the Portion of Centennial Park called ""Exchange Property""","2022-009 - Deed of Release for the Portion of Centennial Park called ""Exchange Property""",2022-02-07,https://publicdocs.santa-ana.org/WebLink/1/doc/130940/Page1.aspx
Santa Ana,2022-010 - Declaration of Restrictions on Pacific Electric Park Site,2022-010 - Declaration of Restrictions on Pacific Electric Park Site,2022-02-07,https://publicdocs.santa-ana.org/WebLink/1/doc/130941/Page1.aspx
Santa Ana,2022-011 - Declaration of Resitrictions for 6th and Lacy Park Site,2022-011 - Declaration of Resitrictions for 6th and Lacy Park Site,2022-02-07,https://publicdocs.santa-ana.org/WebLink/1/doc/130942/Page1.aspx
Santa Ana,2022-012 - Declaration of Restrictions for Raitt and Myrtle Park Site,2022-012 - Declaration of Restrictions for Raitt and Myrtle Park Site,2022-02-07,https://publicdocs.santa-ana.org/WebLink/1/doc/130943/Page1.aspx
Santa Ana,2022-013 - Acquisition of Property Located at 2702 N. Bristol Street for the Bristol Street and Memory Land Instersection Improvements Project,2022-013 - Acquisition of Property Located at 2702 N. Bristol Street for the Bristol Street and Memory Land Instersection Improvements Project,2022-02-07,https://publicdocs.santa-ana.org/WebLink/1/doc/130944/Page1.aspx
