Official Name,Vote Outcome,File Number,Agenda Item Subject,Vote Date,Meeting Type,Overall Result,Link
Lynda Hopkins,Aye,2019-0766,"Approval of the Plans and Specifications and Award Contracts for the removal of burned trees resulting from the 2017 Sonoma Complex Fires:
A)	2019 Hazard Tree Removal Project - Public Trees, Phase 2 (County Project M11724)
B)	2019 Hazard Tree Removal Project - Public Trees, Phase 3 (County Project M11725)",2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4394
Susan Gorin,Aye,2019-0767,Adopt a Gold Resolution Proclaiming August 2019 Child Support Awareness Month.,2019-08-13,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4395
David Rabbitt,Aye,2019-0767,Adopt a Gold Resolution Proclaiming August 2019 Child Support Awareness Month.,2019-08-13,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4395
Shirlee Zane,Aye,2019-0767,Adopt a Gold Resolution Proclaiming August 2019 Child Support Awareness Month.,2019-08-13,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4395
James Gore,Aye,2019-0767,Adopt a Gold Resolution Proclaiming August 2019 Child Support Awareness Month.,2019-08-13,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4395
Lynda Hopkins,Aye,2019-0767,Adopt a Gold Resolution Proclaiming August 2019 Child Support Awareness Month.,2019-08-13,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4395
Susan Gorin,Aye,2019-0768,Second Amendment to the Lambert Road Bridge Replacement Design Contract,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4396
David Rabbitt,Aye,2019-0768,Second Amendment to the Lambert Road Bridge Replacement Design Contract,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4396
Shirlee Zane,Aye,2019-0768,Second Amendment to the Lambert Road Bridge Replacement Design Contract,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4396
James Gore,Aye,2019-0768,Second Amendment to the Lambert Road Bridge Replacement Design Contract,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4396
Lynda Hopkins,Aye,2019-0768,Second Amendment to the Lambert Road Bridge Replacement Design Contract,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4396
Susan Gorin,Aye,2019-0773,Behavioral Health Services Agreement Amendment,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4401
David Rabbitt,Aye,2019-0773,Behavioral Health Services Agreement Amendment,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4401
Shirlee Zane,Aye,2019-0773,Behavioral Health Services Agreement Amendment,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4401
James Gore,Aye,2019-0773,Behavioral Health Services Agreement Amendment,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4401
Lynda Hopkins,Aye,2019-0773,Behavioral Health Services Agreement Amendment,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4401
Susan Gorin,Aye,2019-0774,Charitable Feeding Operations Fee Waiver,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4402
David Rabbitt,Aye,2019-0774,Charitable Feeding Operations Fee Waiver,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4402
Shirlee Zane,Aye,2019-0774,Charitable Feeding Operations Fee Waiver,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4402
James Gore,Aye,2019-0774,Charitable Feeding Operations Fee Waiver,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4402
Lynda Hopkins,Aye,2019-0774,Charitable Feeding Operations Fee Waiver,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4402
Susan Gorin,Aye,2019-0776,District Attorney Victim/Witness Assistance Grant,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4404
David Rabbitt,Aye,2019-0776,District Attorney Victim/Witness Assistance Grant,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4404
Shirlee Zane,Aye,2019-0776,District Attorney Victim/Witness Assistance Grant,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4404
James Gore,Aye,2019-0776,District Attorney Victim/Witness Assistance Grant,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4404
Lynda Hopkins,Aye,2019-0776,District Attorney Victim/Witness Assistance Grant,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4404
Susan Gorin,Aye,2019-0778,"Adopt a Gold Resolution honoring Stephen Bullard for achieving the ranks of Eagle Scout, Order of the Arrow, and Brotherhood status. (Fifth District)",2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4406
David Rabbitt,Aye,2019-0778,"Adopt a Gold Resolution honoring Stephen Bullard for achieving the ranks of Eagle Scout, Order of the Arrow, and Brotherhood status. (Fifth District)",2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4406
Shirlee Zane,Aye,2019-0778,"Adopt a Gold Resolution honoring Stephen Bullard for achieving the ranks of Eagle Scout, Order of the Arrow, and Brotherhood status. (Fifth District)",2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4406
