Official Name,Vote Outcome,File Number,Agenda Item Subject,Vote Date,Meeting Type,Overall Result,Link
David Rabbitt,Aye,2019-1309,Deferred Maintenance Fund Priorities for FY 2019-20,2019-09-10,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4938
Shirlee Zane,Aye,2019-1309,Deferred Maintenance Fund Priorities for FY 2019-20,2019-09-10,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4938
James Gore,Absent,2019-1309,Deferred Maintenance Fund Priorities for FY 2019-20,2019-09-10,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4938
Lynda Hopkins,Aye,2019-1309,Deferred Maintenance Fund Priorities for FY 2019-20,2019-09-10,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4938
Susan Gorin,Absent,2019-1310,"Adopt a gold resolution recognizing the County employee participation in the annual Day of Caring event on Wednesday, September 11, 2019, in partnership with the City of Santa Rosa and United Way of the Wine Country.",2019-09-10,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4939
David Rabbitt,Aye,2019-1310,"Adopt a gold resolution recognizing the County employee participation in the annual Day of Caring event on Wednesday, September 11, 2019, in partnership with the City of Santa Rosa and United Way of the Wine Country.",2019-09-10,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4939
Shirlee Zane,Aye,2019-1310,"Adopt a gold resolution recognizing the County employee participation in the annual Day of Caring event on Wednesday, September 11, 2019, in partnership with the City of Santa Rosa and United Way of the Wine Country.",2019-09-10,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4939
James Gore,Absent,2019-1310,"Adopt a gold resolution recognizing the County employee participation in the annual Day of Caring event on Wednesday, September 11, 2019, in partnership with the City of Santa Rosa and United Way of the Wine Country.",2019-09-10,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4939
Lynda Hopkins,Aye,2019-1310,"Adopt a gold resolution recognizing the County employee participation in the annual Day of Caring event on Wednesday, September 11, 2019, in partnership with the City of Santa Rosa and United Way of the Wine Country.",2019-09-10,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4939
Susan Gorin,Aye,2019-1313,Disbursement of Fiscal Year 2019-2020 First District Community Investment Fund Grant Awards,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4942
David Rabbitt,Aye,2019-1313,Disbursement of Fiscal Year 2019-2020 First District Community Investment Fund Grant Awards,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4942
Shirlee Zane,Aye,2019-1313,Disbursement of Fiscal Year 2019-2020 First District Community Investment Fund Grant Awards,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4942
James Gore,Aye,2019-1313,Disbursement of Fiscal Year 2019-2020 First District Community Investment Fund Grant Awards,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4942
Lynda Hopkins,Aye,2019-1313,Disbursement of Fiscal Year 2019-2020 First District Community Investment Fund Grant Awards,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4942
Susan Gorin,Aye,2019-1316,Grant Application to Coastal Commission for Vehicle Miles Traveled Analysis,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4945
David Rabbitt,Aye,2019-1316,Grant Application to Coastal Commission for Vehicle Miles Traveled Analysis,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4945
Shirlee Zane,Aye,2019-1316,Grant Application to Coastal Commission for Vehicle Miles Traveled Analysis,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4945
James Gore,Aye,2019-1316,Grant Application to Coastal Commission for Vehicle Miles Traveled Analysis,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4945
Lynda Hopkins,Aye,2019-1316,Grant Application to Coastal Commission for Vehicle Miles Traveled Analysis,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4945
Susan Gorin,Aye,2019-1319,Water System Risk and Resilience Assessment,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4948
David Rabbitt,Aye,2019-1319,Water System Risk and Resilience Assessment,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4948
Shirlee Zane,Aye,2019-1319,Water System Risk and Resilience Assessment,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4948
James Gore,Aye,2019-1319,Water System Risk and Resilience Assessment,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4948
Lynda Hopkins,Aye,2019-1319,Water System Risk and Resilience Assessment,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4948
Susan Gorin,Aye,2019-1320,Transfer of Unclaimed Funds to County General Fund,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4949
David Rabbitt,Aye,2019-1320,Transfer of Unclaimed Funds to County General Fund,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4949
Shirlee Zane,Aye,2019-1320,Transfer of Unclaimed Funds to County General Fund,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4949
James Gore,Aye,2019-1320,Transfer of Unclaimed Funds to County General Fund,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4949
Lynda Hopkins,Aye,2019-1320,Transfer of Unclaimed Funds to County General Fund,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4949
Susan Gorin,Aye,2019-1322,Climate Emergency Resolution,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4951
David Rabbitt,Aye,2019-1322,Climate Emergency Resolution,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4951
Shirlee Zane,Aye,2019-1322,Climate Emergency Resolution,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4951
James Gore,Aye,2019-1322,Climate Emergency Resolution,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4951
Lynda Hopkins,Aye,2019-1322,Climate Emergency Resolution,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4951
Susan Gorin,Aye,2019-1325,Sheriff’s Office FY 19-20 Budget Resolution,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4954
David Rabbitt,Aye,2019-1325,Sheriff’s Office FY 19-20 Budget Resolution,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4954
Shirlee Zane,Aye,2019-1325,Sheriff’s Office FY 19-20 Budget Resolution,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4954
James Gore,Aye,2019-1325,Sheriff’s Office FY 19-20 Budget Resolution,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4954
Lynda Hopkins,Aye,2019-1325,Sheriff’s Office FY 19-20 Budget Resolution,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4954
Susan Gorin,Aye,2019-1326,Authorization for Third-Party PACE Financing Project in Unincorporated Sonoma County,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4955
David Rabbitt,Aye,2019-1326,Authorization for Third-Party PACE Financing Project in Unincorporated Sonoma County,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4955
Shirlee Zane,Aye,2019-1326,Authorization for Third-Party PACE Financing Project in Unincorporated Sonoma County,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4955
James Gore,Aye,2019-1326,Authorization for Third-Party PACE Financing Project in Unincorporated Sonoma County,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4955
Lynda Hopkins,Aye,2019-1326,Authorization for Third-Party PACE Financing Project in Unincorporated Sonoma County,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4955
Susan Gorin,Absent,2019-1332,Workforce Alliance North Bay and Solano County Workforce Development Board Contracts,2019-10-22,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4961
David Rabbitt,Aye,2019-1332,Workforce Alliance North Bay and Solano County Workforce Development Board Contracts,2019-10-22,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4961
Shirlee Zane,Aye,2019-1332,Workforce Alliance North Bay and Solano County Workforce Development Board Contracts,2019-10-22,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4961
James Gore,Aye,2019-1332,Workforce Alliance North Bay and Solano County Workforce Development Board Contracts,2019-10-22,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4961
Lynda Hopkins,Aye,2019-1332,Workforce Alliance North Bay and Solano County Workforce Development Board Contracts,2019-10-22,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4961
Susan Gorin,Aye,2019-1333,Contract Amendments for Council on Aging and United Way of the Wine Country,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4962
David Rabbitt,Aye,2019-1333,Contract Amendments for Council on Aging and United Way of the Wine Country,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4962
Shirlee Zane,Aye,2019-1333,Contract Amendments for Council on Aging and United Way of the Wine Country,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4962
James Gore,Aye,2019-1333,Contract Amendments for Council on Aging and United Way of the Wine Country,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4962
Lynda Hopkins,Aye,2019-1333,Contract Amendments for Council on Aging and United Way of the Wine Country,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4962
Susan Gorin,Aye,2019-1335,Revenue Standard Agreement for Supplemental Nutrition Assistance Program Education (SNAP-Ed),2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4964
David Rabbitt,Aye,2019-1335,Revenue Standard Agreement for Supplemental Nutrition Assistance Program Education (SNAP-Ed),2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4964
Shirlee Zane,Aye,2019-1335,Revenue Standard Agreement for Supplemental Nutrition Assistance Program Education (SNAP-Ed),2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4964
James Gore,Aye,2019-1335,Revenue Standard Agreement for Supplemental Nutrition Assistance Program Education (SNAP-Ed),2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4964
Lynda Hopkins,Aye,2019-1335,Revenue Standard Agreement for Supplemental Nutrition Assistance Program Education (SNAP-Ed),2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4964
Susan Gorin,Aye,2019-1337,Facilitation Services for Potter Valley Project,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4966
David Rabbitt,Aye,2019-1337,Facilitation Services for Potter Valley Project,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4966
Shirlee Zane,Aye,2019-1337,Facilitation Services for Potter Valley Project,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4966
James Gore,Aye,2019-1337,Facilitation Services for Potter Valley Project,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4966
Lynda Hopkins,Aye,2019-1337,Facilitation Services for Potter Valley Project,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4966
Susan Gorin,Aye,2019-1338,Disbursement of Fiscal Year 2019-2020 Second District Community Investment Fund Grant Awards.,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4967
David Rabbitt,Aye,2019-1338,Disbursement of Fiscal Year 2019-2020 Second District Community Investment Fund Grant Awards.,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4967
Shirlee Zane,Aye,2019-1338,Disbursement of Fiscal Year 2019-2020 Second District Community Investment Fund Grant Awards.,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4967
James Gore,Aye,2019-1338,Disbursement of Fiscal Year 2019-2020 Second District Community Investment Fund Grant Awards.,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4967
Lynda Hopkins,Aye,2019-1338,Disbursement of Fiscal Year 2019-2020 Second District Community Investment Fund Grant Awards.,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4967
Susan Gorin,Absent,2019-1339,"Approve the Reappointment of Tom Martin to the Sonoma Valley Citizens Advisory Commission, Expiring on August 5, 2023. (First District)",2019-09-10,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4968
David Rabbitt,Aye,2019-1339,"Approve the Reappointment of Tom Martin to the Sonoma Valley Citizens Advisory Commission, Expiring on August 5, 2023. (First District)",2019-09-10,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4968
Shirlee Zane,Aye,2019-1339,"Approve the Reappointment of Tom Martin to the Sonoma Valley Citizens Advisory Commission, Expiring on August 5, 2023. (First District)",2019-09-10,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4968
James Gore,Absent,2019-1339,"Approve the Reappointment of Tom Martin to the Sonoma Valley Citizens Advisory Commission, Expiring on August 5, 2023. (First District)",2019-09-10,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4968
Lynda Hopkins,Aye,2019-1339,"Approve the Reappointment of Tom Martin to the Sonoma Valley Citizens Advisory Commission, Expiring on August 5, 2023. (First District)",2019-09-10,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4968
Susan Gorin,Aye,2019-1340,Vision Zero Sonoma County Grant Agreement,2019-10-08,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4969
David Rabbitt,Aye,2019-1340,Vision Zero Sonoma County Grant Agreement,2019-10-08,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4969
Shirlee Zane,Aye,2019-1340,Vision Zero Sonoma County Grant Agreement,2019-10-08,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4969
James Gore,Aye,2019-1340,Vision Zero Sonoma County Grant Agreement,2019-10-08,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4969
Lynda Hopkins,Aye,2019-1340,Vision Zero Sonoma County Grant Agreement,2019-10-08,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4969
Susan Gorin,Aye,2019-1342,Award of Contract for Old Monte Rio Road Slide Repair (Project C21601),2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4971
David Rabbitt,Aye,2019-1342,Award of Contract for Old Monte Rio Road Slide Repair (Project C21601),2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4971
Shirlee Zane,Aye,2019-1342,Award of Contract for Old Monte Rio Road Slide Repair (Project C21601),2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4971
James Gore,Aye,2019-1342,Award of Contract for Old Monte Rio Road Slide Repair (Project C21601),2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4971
Lynda Hopkins,Aye,2019-1342,Award of Contract for Old Monte Rio Road Slide Repair (Project C21601),2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4971
Susan Gorin,Aye,2019-1344,"Approve the reappointment of Tawny Tesconi to the Agricultural Preservation and Open Space Advisory Committee as the agriculture representative for a two-year term beginning September 17, 2019 and ending September 17, 2021. (Countywide)",2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4973
David Rabbitt,Aye,2019-1344,"Approve the reappointment of Tawny Tesconi to the Agricultural Preservation and Open Space Advisory Committee as the agriculture representative for a two-year term beginning September 17, 2019 and ending September 17, 2021. (Countywide)",2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4973
Shirlee Zane,Aye,2019-1344,"Approve the reappointment of Tawny Tesconi to the Agricultural Preservation and Open Space Advisory Committee as the agriculture representative for a two-year term beginning September 17, 2019 and ending September 17, 2021. (Countywide)",2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4973
James Gore,Aye,2019-1344,"Approve the reappointment of Tawny Tesconi to the Agricultural Preservation and Open Space Advisory Committee as the agriculture representative for a two-year term beginning September 17, 2019 and ending September 17, 2021. (Countywide)",2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4973
Lynda Hopkins,Aye,2019-1344,"Approve the reappointment of Tawny Tesconi to the Agricultural Preservation and Open Space Advisory Committee as the agriculture representative for a two-year term beginning September 17, 2019 and ending September 17, 2021. (Countywide)",2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4973
Susan Gorin,Aye,2019-1345,"Approve the re-appointment of Sherie Hurd, Board of Supervisors representative to the Sonoma County Public Law Library Board of Trustees for a term of one year beginning January 2, 2019 and ending January 2, 2020. (Countywide)",2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4974
David Rabbitt,Aye,2019-1345,"Approve the re-appointment of Sherie Hurd, Board of Supervisors representative to the Sonoma County Public Law Library Board of Trustees for a term of one year beginning January 2, 2019 and ending January 2, 2020. (Countywide)",2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4974
Shirlee Zane,Aye,2019-1345,"Approve the re-appointment of Sherie Hurd, Board of Supervisors representative to the Sonoma County Public Law Library Board of Trustees for a term of one year beginning January 2, 2019 and ending January 2, 2020. (Countywide)",2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4974
James Gore,Aye,2019-1345,"Approve the re-appointment of Sherie Hurd, Board of Supervisors representative to the Sonoma County Public Law Library Board of Trustees for a term of one year beginning January 2, 2019 and ending January 2, 2020. (Countywide)",2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4974
Lynda Hopkins,Aye,2019-1345,"Approve the re-appointment of Sherie Hurd, Board of Supervisors representative to the Sonoma County Public Law Library Board of Trustees for a term of one year beginning January 2, 2019 and ending January 2, 2020. (Countywide)",2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4974
Susan Gorin,Aye,2019-1346,Establishment of the North Valley Municipal Advisory Council,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4975
David Rabbitt,Aye,2019-1346,Establishment of the North Valley Municipal Advisory Council,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4975
Shirlee Zane,Aye,2019-1346,Establishment of the North Valley Municipal Advisory Council,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4975
James Gore,Aye,2019-1346,Establishment of the North Valley Municipal Advisory Council,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4975
Lynda Hopkins,Aye,2019-1346,Establishment of the North Valley Municipal Advisory Council,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4975
Susan Gorin,Aye,2019-1349,Alder Creek Erosion Control Project,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4978
David Rabbitt,Aye,2019-1349,Alder Creek Erosion Control Project,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4978
Shirlee Zane,Aye,2019-1349,Alder Creek Erosion Control Project,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4978
James Gore,Aye,2019-1349,Alder Creek Erosion Control Project,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4978
Lynda Hopkins,Aye,2019-1349,Alder Creek Erosion Control Project,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4978
Susan Gorin,Aye,2019-1350,Disbursement of Fiscal Year 2019-2020 Third District Community Investment Fund Grant Awards,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4979
David Rabbitt,Aye,2019-1350,Disbursement of Fiscal Year 2019-2020 Third District Community Investment Fund Grant Awards,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4979
Shirlee Zane,Aye,2019-1350,Disbursement of Fiscal Year 2019-2020 Third District Community Investment Fund Grant Awards,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4979
James Gore,Aye,2019-1350,Disbursement of Fiscal Year 2019-2020 Third District Community Investment Fund Grant Awards,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4979
Lynda Hopkins,Aye,2019-1350,Disbursement of Fiscal Year 2019-2020 Third District Community Investment Fund Grant Awards,2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4979
Susan Gorin,Aye,2019-1351,Adopt a Gold Resolution proclaiming October 2019 to be Domestic Violence Awareness Month in Sonoma County,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4980
David Rabbitt,Aye,2019-1351,Adopt a Gold Resolution proclaiming October 2019 to be Domestic Violence Awareness Month in Sonoma County,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4980
Shirlee Zane,Aye,2019-1351,Adopt a Gold Resolution proclaiming October 2019 to be Domestic Violence Awareness Month in Sonoma County,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4980
James Gore,Aye,2019-1351,Adopt a Gold Resolution proclaiming October 2019 to be Domestic Violence Awareness Month in Sonoma County,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4980
Lynda Hopkins,Aye,2019-1351,Adopt a Gold Resolution proclaiming October 2019 to be Domestic Violence Awareness Month in Sonoma County,2019-09-24,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4980
Susan Gorin,Aye,2019-1353,"Tolay Gathering Area - Cultural, Community, and Natural Resources Grant",2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4982
David Rabbitt,Aye,2019-1353,"Tolay Gathering Area - Cultural, Community, and Natural Resources Grant",2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4982
Shirlee Zane,Aye,2019-1353,"Tolay Gathering Area - Cultural, Community, and Natural Resources Grant",2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4982
James Gore,Aye,2019-1353,"Tolay Gathering Area - Cultural, Community, and Natural Resources Grant",2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4982
Lynda Hopkins,Aye,2019-1353,"Tolay Gathering Area - Cultural, Community, and Natural Resources Grant",2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4982
Susan Gorin,Aye,2019-1354,"Approve the appointment of former Supervisor, the Honorable Eric Koenigshofer as a lifelong Honorary Board Member to the Sonoma County Fair and Exposition Board. (Countywide)",2019-09-17,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4983
